Customer_ID,Age,Gender,Location,Num_Interactions,Feedback_Score,Products_Purchased,Products_Viewed,Time_Spent_on_Site,Satisfaction_Score,Retention_Status,Gender_Encoded,Location_Encoded,Retention_Status_Encoded
1,56,Male,Urban,11,4,18,38,18.31960576911088,7,Retained,1,2,1
2,69,Male,Suburban,10,3,2,17,9.015197609479504,6,Retained,1,1,1
3,46,Male,Urban,5,5,11,46,45.92157191912222,10,Churned,1,2,0
4,32,Female,Suburban,5,1,6,13,44.10505290723962,5,Churned,0,1,0
5,60,Male,Urban,14,5,8,46,17.897471272075155,1,Retained,1,2,1
6,25,Male,Rural,6,2,4,35,46.21584591982858,3,Retained,1,0,1
7,38,Male,Suburban,8,4,18,11,55.48124857014542,9,Churned,1,1,0
8,56,Female,Rural,10,4,11,8,10.941592662036859,1,Retained,0,0,1
9,36,Female,Suburban,6,2,5,23,17.795015111272622,5,Churned,0,1,0
10,40,Male,Rural,12,3,15,46,46.264343674802355,2,Retained,1,0,1
11,28,Male,Urban,1,3,18,34,20.097867042889305,4,Retained,1,2,1
12,28,Male,Urban,8,4,2,35,39.35651858560442,1,Retained,1,2,1
13,41,Male,Urban,8,4,11,39,9.464032345504299,3,Churned,1,2,0
14,53,Female,Suburban,9,1,13,25,29.87113635069463,10,Retained,0,1,1
15,57,Female,Rural,9,3,4,35,45.65002820961242,7,Retained,0,0,1
16,41,Female,Urban,2,2,7,23,42.758266867378886,10,Retained,0,2,1
17,20,Female,Rural,2,3,11,35,49.828965537169374,3,Churned,0,0,0
18,39,Male,Rural,3,1,4,36,53.25986696317429,4,Churned,1,0,0
19,19,Male,Urban,1,4,15,6,47.5250925692317,2,Retained,1,2,1
20,41,Male,Urban,4,4,1,14,41.93732586164093,3,Retained,1,2,1
21,61,Female,Rural,14,1,3,6,6.744737049881714,9,Retained,0,0,1
22,47,Male,Urban,4,2,14,6,34.42316703751942,3,Retained,1,2,1
23,55,Female,Urban,14,4,6,28,7.073374870316904,5,Retained,0,2,1
24,19,Female,Urban,9,5,18,21,49.44372994138124,2,Retained,0,2,1
25,38,Male,Suburban,9,4,1,36,22.639848845297667,4,Retained,1,1,1
26,50,Male,Rural,9,5,6,20,35.93361557648565,7,Retained,1,0,1
27,29,Male,Rural,10,1,6,20,20.369491902539643,7,Retained,1,0,1
28,39,Female,Suburban,7,1,16,43,48.03750794091615,3,Churned,0,1,0
29,61,Male,Rural,14,4,5,35,53.75763896530464,5,Retained,1,0,1
30,42,Female,Urban,2,3,17,47,26.92533718171852,1,Retained,0,2,1
31,66,Male,Rural,10,5,10,28,52.460731643104396,10,Retained,1,0,1
32,44,Female,Urban,5,2,18,5,19.68912541009828,10,Retained,0,2,1
33,59,Female,Suburban,4,4,7,15,34.40635076915381,10,Retained,0,1,1
34,45,Male,Urban,12,2,3,25,52.231878641128716,1,Churned,1,2,0
35,33,Female,Rural,11,4,13,8,22.92347384386847,5,Retained,0,0,1
36,32,Female,Rural,8,3,15,11,57.472324579294714,10,Retained,0,0,1
37,64,Male,Rural,2,3,19,30,11.703372597976099,9,Retained,1,0,1
38,68,Female,Suburban,6,3,3,16,6.005128834792843,1,Churned,0,1,0
39,61,Male,Suburban,13,3,4,35,54.72744439180049,1,Retained,1,1,1
40,69,Female,Rural,5,1,5,21,8.775676638132973,4,Retained,0,0,1
41,20,Male,Urban,12,1,1,37,59.55390577711204,4,Retained,1,2,1
42,54,Male,Suburban,2,5,4,15,57.32682740885084,2,Retained,1,1,1
43,68,Female,Rural,11,2,12,32,12.536150051997637,9,Churned,0,0,0
44,24,Female,Rural,10,4,10,36,34.56715441309112,9,Churned,0,0,0
45,38,Female,Suburban,1,4,13,5,15.170616360692938,2,Retained,0,1,1
46,26,Female,Suburban,8,1,14,32,28.54853451665659,9,Retained,0,1,1
47,56,Female,Suburban,2,4,5,46,8.378382109290797,6,Churned,0,1,0
48,35,Male,Urban,7,1,4,11,17.315852328812426,8,Retained,1,2,1
49,21,Female,Urban,9,5,14,6,24.980003801939475,10,Retained,0,2,1
50,42,Male,Rural,9,2,10,46,29.125612513533014,4,Churned,1,0,0
51,31,Male,Suburban,8,5,17,28,58.76229420148913,2,Churned,1,1,0
52,67,Female,Urban,11,3,10,8,49.432610512618965,2,Retained,0,2,1
53,26,Male,Suburban,14,3,7,48,45.55754693715704,9,Retained,1,1,1
54,43,Male,Rural,12,3,16,23,34.53727231080858,1,Retained,1,0,1
55,19,Male,Urban,10,5,1,30,51.19987683323889,7,Churned,1,2,0
56,37,Male,Urban,9,4,17,15,23.66275596106411,3,Retained,1,2,1
57,45,Female,Urban,2,2,9,44,43.989451202532386,3,Retained,0,2,1
58,64,Male,Rural,6,3,6,47,59.65811864579946,2,Retained,1,0,1
59,24,Female,Suburban,4,3,19,15,22.304589991435932,10,Retained,0,1,1
60,61,Female,Urban,14,3,13,49,42.0709644186182,6,Retained,0,2,1
61,25,Male,Rural,4,2,3,7,51.43731752838104,10,Retained,1,0,1
62,64,Female,Suburban,5,3,7,16,55.36941708428697,2,Retained,0,1,1
63,52,Female,Rural,12,2,9,7,44.4862980017056,10,Retained,0,0,1
64,31,Female,Suburban,3,3,5,46,20.598435787942492,4,Churned,0,1,0
65,34,Male,Rural,14,5,10,31,22.945518336292057,10,Retained,1,0,1
66,53,Female,Suburban,1,5,17,6,6.141691766818031,9,Churned,0,1,0
